,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,fcas_cleared_power,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
0,0.0,41.0,gen,-3.6571874664446244e-05,0,300.00000000000006,54.9,load,63.0,54.9,41.0,27.81,0,2018-06-01 04:30:00
1,0.0,41.0,gen,-3.6571874664446244e-05,0,300.0,56.19,load,63.0,56.19,41.0,28.5,299.9999634281254,2018-06-01 05:00:00
2,0.0,41.0,gen,-3.6571874664446244e-05,0,300.0,58.73,load,63.0,58.73,41.0,24.97,599.9999268562508,2018-06-01 05:30:00
3,0.0,41.67,gen,-7.557817020247885e-05,0,129.00010971562392,62.98,load,63.0,62.98,41.67,20.59,899.9998902843761,2018-06-01 06:00:00
4,0.0,47.67,gen,9.72697767816523e-05,0,7.55781702537206e-05,74.24,load,63.0,74.24,47.67,18.24996,1028.9999244218297,2018-06-01 06:30:00
5,0.0,75.59,gen,-3.407591115778267e-05,-300.0,0,229.57,gen,70.0,229.57,75.59,30.0,1029,2018-06-01 07:00:00
6,0.0,62.14,gen,-0.00026066571449310605,-300.0,0,104.33,gen,70.0,104.33,62.14,42.27879,728.9999659240889,2018-06-01 07:30:00
7,0.0,81.0,gen,-0.0001562186003998198,-300.0,0,112.42,gen,70.0,112.42,81.0,35.01569,428.9997052583744,2018-06-01 08:00:00
8,0.0,81.0,gen,-0.0001562186003998198,-128.99954903977397,0,103.99,gen,70.0,103.99,81.0,30.0,128.99954903977397,2018-06-01 08:30:00
9,0.0,78.92,gen,-0.0002444417788240057,0,300.0,94.0,load,70.0,94.0,78.92,20.0,0,2018-06-01 09:00:00
10,0.0,77.67,gen,-0.0002493320189077405,-299.9997555582212,0,101.52,gen,70.0,101.52,77.67,25.73486,299.9997555582212,2018-06-01 09:30:00
11,0.0,67.67,gen,-8.192257311204546e-05,0,300.00000000000006,82.94,load,70.0,82.94,67.67,18.89,0,2018-06-01 10:00:00
12,0.0,61.0,gen,-2.3638960121037183e-11,0,300.0,78.59,load,63.0,78.59,61.0,14.9,299.99991807742697,2018-06-01 10:30:00
13,0.0,61.0,gen,-2.3638960121037183e-11,0,300.0,78.15,load,63.0,78.15,61.0,20.59,599.9999180774033,2018-06-01 11:00:00
14,0.0,61.0,gen,-2.3638960121037183e-11,0,129.00008192262032,83.36,load,63.0,83.36,61.0,13.794529999999998,899.9999180773797,2018-06-01 11:30:00
15,0.0,45.63,gen,4.186529673749211e-05,-300.0,0,88.1,gen,63.0,88.1,45.63,16.44944,1028.9999999999764,2018-06-01 12:00:00
16,0.0,45.0,gen,3.353664138404331e-05,-4.186527303318144e-05,0,85.15,gen,63.0,85.15,45.0,14.49,729.000041865273,2018-06-01 12:30:00
17,0.0,45.06,gen,-0.00020881067040127201,0,299.99996646335865,84.84,load,63.0,84.84,45.06,13.851220000000001,729.0000335366414,2018-06-01 13:00:00
18,0.0,49.88,gen,-0.00023050055185856158,-299.9998747136502,0,88.41,gen,63.0,88.41,49.88,14.49,1028.9997911893297,2018-06-01 13:30:00
19,0.0,55.54,gen,-0.00017315781411768823,0,300.0,87.63,load,63.0,87.63,55.54,17.5,728.9996859751277,2018-06-01 14:00:00
20,0.0,56.44,gen,-0.00019757677770952198,0,0.00048718268635639106,98.24,load,63.0,98.24,56.44,16.25275,1028.9995128173136,2018-06-01 14:30:00
21,0.0,63.28,gen,-0.0002576703203343111,-299.99980242322226,0,98.71,gen,70.0,98.71,63.28,25.096020000000003,1028.9998024232223,2018-06-01 15:00:00
22,0.0,61.0,gen,-2.3638960121037183e-11,0,300.0,91.98,load,63.0,91.98,61.0,14.9,728.9997423296797,2018-06-01 15:30:00
23,0.0,61.0,gen,-2.3638960121037183e-11,-299.99984539787334,0,106.42,gen,63.0,106.42,61.0,30.0,1028.999742329656,2018-06-01 16:00:00
24,0.0,61.0,gen,-2.3638960121037183e-11,0,300.0,98.16,load,63.0,98.16,61.0,30.522540000000003,728.9998969317592,2018-06-01 16:30:00
25,0.0,60.33,gen,0.00027561897639532575,0,0.00010306826447958883,116.58,load,63.0,116.58,60.33,33.3057,1028.9998969317355,2018-06-01 17:00:00
26,0.0,59.33,gen,0.00019348343715572117,-300.0,0,142.46,gen,63.0,142.46,59.33,66.67344,1029,2018-06-01 17:30:00
27,0.0,58.86,gen,0.0002283976496342795,-300.0,0,319.69,gen,63.0,319.69,58.86,100.0,729.0001934834372,2018-06-01 18:00:00
28,0.0,59.0,gen,0.00021074421274010978,-300.0,0,148.45,gen,63.0,148.45,59.0,47.98115,429.0004218810868,2018-06-01 18:30:00
29,0.0,59.0,gen,0.00021074421274010978,-129.00063262529954,0,135.28,gen,63.0,135.28,59.0,35.66317,129.00063262529954,2018-06-01 19:00:00
