,battery_bid_price,battery_bid_power_gen,battery_bid_power_load,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,demand,clearing_price,soe,timestamp
0,72.0,0,0.0,0,0.0,1628.51,72.0,0,2018-06-02
1,61.0,0,0.0,0,0.0,1535.35,61.0,0.0,2018-06-02 00:30:00
2,61.0,0,0.0,0,0.0,1458.06,61.0,0.0,2018-06-02 01:00:00
3,56.0,0,0.0,0,0.0,1348.32,56.0,0.0,2018-06-02 01:30:00
4,48.0,0,0.0,0,0.0,1259.39,48.0,0.0,2018-06-02 02:00:00
5,42.0,0,0.0,0,0.0,1185.8,42.0,0.0,2018-06-02 02:30:00
6,34.0,0,300.0,0,300.0,1434.45,58.0,0.0,2018-06-02 03:00:00
7,34.0,0,300.0,0,300.0,1420.63,58.0,300.0,2018-06-02 03:30:00
8,34.0,0,300.0,0,300.0,1388.64,58.0,600.0,2018-06-02 04:00:00
9,34.0,0.0,0,0.0,0,1089.06,34.0,900.0,2018-06-02 04:30:00
10,34.0,0.0,0,0.0,0,1075.61,34.0,900.0,2018-06-02 05:00:00
11,34.0,0.0,0,0.0,0,1079.3,34.0,900.0,2018-06-02 05:30:00
12,34.0,0,129.0,0,129.0,1209.46,42.0,900.0,2018-06-02 06:00:00
13,40.0,-0.0,0,0.0,0,1142.77,40.0,1029,2018-06-02 06:30:00
14,42.0,-0.0,0,0.0,0,1221.83,42.0,1029,2018-06-02 07:00:00
15,51.0,-0.0,0,0.0,0,1291.25,51.0,1029,2018-06-02 07:30:00
16,56.0,-0.0,0,0.0,0,1345.13,56.0,1029,2018-06-02 08:00:00
17,58.0,-300.0,0,-24.929999999930374,0,1407.93,58.0,1029,2018-06-02 08:30:00
18,61.0,-300.0,0,-7.7800000036106844,0,1460.78,61.0,1004.0700000000696,2018-06-02 09:00:00
19,61.0,-300.0,0,-15.769999999815589,0,1468.77,61.0,996.289999996459,2018-06-02 09:30:00
20,58.0,-300.0,0,-16.710000001797223,0,1399.71,58.0,980.5199999966434,2018-06-02 10:00:00
21,56.0,-300.0,0,-47.92999996646037,0,1360.93,56.0,963.8099999948462,2018-06-02 10:30:00
22,48.0,-300.0,0,-41.239999998441405,0,1264.24,48.0,915.8800000283858,2018-06-02 11:00:00
23,42.0,-300.00000001977133,0,-24.06999999999439,0,1189.07,42.0,874.6400000299444,2018-06-02 11:30:00
24,34.0,-300.00000002995,0,-13.410000005169104,0,1088.41,34.0,850.57000002995,2018-06-02 12:00:00
25,34.0,-300.0000000247809,0,-10.2800000053266,0,1085.28,34.0,837.160000024781,2018-06-02 12:30:00
26,30.0,-300.00000001162334,0,-21.33999999297361,0,1010.34,30.0,826.8800000194543,2018-06-02 13:00:00
27,25.0,-76.5400000264807,0,-76.5400000264807,0,985.62,25.0,805.5400000264807,2018-06-02 13:30:00
28,25.0,0,300.0,0,300.0,1271.76,48.0,729.0,2018-06-02 14:00:00
29,30.0,-0.0,0,0.0,0,996.5,30.0,1029,2018-06-02 14:30:00
30,31.0,-0.0,0,0.0,0,1045.68,31.0,1029,2018-06-02 15:00:00
31,31.0,-0.0,0,0.0,0,1057.71,31.0,1029,2018-06-02 15:30:00
32,40.0,-0.0,0,0.0,0,1152.19,40.0,1029,2018-06-02 16:00:00
33,48.0,-0.0,0,0.0,0,1252.36,48.0,1029,2018-06-02 16:30:00
34,56.0,-0.0,0,0.0,0,1335.8,56.0,1029,2018-06-02 17:00:00
35,58.0,-0.0,0,0.0,0,1451.79,58.0,1029,2018-06-02 17:30:00
36,72.0,-0.0,0,0.0,0,1614.18,72.0,1029,2018-06-02 18:00:00
37,74.0,-129.0,0,-31.090000004586944,0,1764.09,74.0,1029,2018-06-02 18:30:00
38,74.0,-300.0,0,-56.80000001234114,0,1789.8,74.0,997.909999995413,2018-06-02 19:00:00
39,74.0,-300.0,0,-44.39000001632376,0,1777.39,74.0,941.1099999830719,2018-06-02 19:30:00
40,74.0,-300.0,0,-23.320000012710842,0,1756.32,74.0,896.7199999667482,2018-06-02 20:00:00
41,74.0,-300.0,0,-6.270004190229982,0,1739.27,74.0,873.3999999540374,2018-06-02 20:30:00
42,72.0,-300.0,0,-88.52999957073803,0,1701.53,72.0,867.1299957638074,2018-06-02 21:00:00
43,72.0,-300.0,0,-41.10999996190264,0,1654.11,72.0,778.5999961930694,2018-06-02 21:30:00
44,72.0,-300.0,0,-9.520000000002028,0,1622.52,72.0,737.4899962311667,2018-06-02 22:00:00
45,65.0,-300.0,0,-34.27999999999145,0,1587.28,65.0,727.9699962311647,2018-06-02 22:30:00
46,61.0,-300.0,0,-89.51999993956342,0,1542.52,61.0,693.6899962311733,2018-06-02 23:00:00
47,61.0,-4.169996291609891,0,-4.169996291609891,0,1516.86,61.0,604.1699962916099,2018-06-02 23:30:00
48,72.0,-300.0,0,-88.15999957337196,0,1701.16,72.0,600.0,2018-06-03
49,72.0,-300.000000213314,0,-12.429999928717821,0,1625.43,72.0,511.840000426628,2018-06-03 00:30:00
50,61.0,-300.0000002489551,0,-89.59999993971542,0,1542.6,61.0,499.4100004979102,2018-06-03 01:00:00
51,58.0,-300.0,0,-63.32999999622516,0,1446.33,58.0,409.81000055819476,2018-06-03 01:30:00
52,56.0,-300.0,0,-48.48999996769948,0,1361.49,56.0,346.4800005619696,2018-06-03 02:00:00
53,51.0,-297.9900005942701,0,-38.84999999774501,0,1311.85,51.0,297.9900005942701,2018-06-03 02:30:00
54,48.0,-259.1400005965251,0,-34.87999999996969,0,1257.88,48.0,259.1400005965251,2018-06-03 03:00:00
55,48.0,-224.26000059655541,0,-3.4999999991365174,0,1226.5,48.0,224.26000059655541,2018-06-03 03:30:00
56,42.0,-220.7600005974189,0,-37.06999999563184,0,1202.07,42.0,220.7600005974189,2018-06-03 04:00:00
57,42.0,0.0,0,0.0,0,1165.55,42.0,183.69000060178706,2018-06-03 04:30:00
58,42.0,0,245.30999939821294,0,245.30999939821294,1413.329999398213,58.0,183.69000060178706,2018-06-03 05:00:00
59,40.0,0,300.0,0,300.0,1463.29,61.0,429.0,2018-06-03 05:30:00
60,40.0,0,300.0,0,300.0,1447.78,58.0,729.0,2018-06-03 06:00:00
61,42.0,-0.0,0,0.0,0,1188.03,42.0,1029,2018-06-03 06:30:00
62,48.0,-0.0,0,0.0,0,1227.51,48.0,1029,2018-06-03 07:00:00
63,48.0,-0.0,0,0.0,0,1236.4,48.0,1029,2018-06-03 07:30:00
64,51.0,-129.0,0,-13.049999997571312,0,1286.05,51.0,1029,2018-06-03 08:00:00
65,56.0,-300.0000000024287,0,-45.749999962408594,0,1358.75,56.0,1015.9500000024287,2018-06-03 08:30:00
66,56.0,-300.00000004002004,0,-51.23999997387726,0,1364.24,56.0,970.2000000400201,2018-06-03 09:00:00
67,56.0,-300.0000000661428,0,-18.399999986110647,0,1331.4,56.0,918.9600000661428,2018-06-03 09:30:00
68,48.0,-300.0,0,-37.7699999975463,0,1260.77,48.0,900.5600000800322,2018-06-03 10:00:00
69,42.0,-300.0000000824858,0,-17.12000000010862,0,1182.12,42.0,862.7900000824859,2018-06-03 10:30:00
70,34.0,-300.00000008237726,0,-7.540000004845057,0,1082.54,34.0,845.6700000823773,2018-06-03 11:00:00
71,30.0,-300.00000007753226,0,-22.509999993763557,0,1011.51,30.0,838.1300000775323,2018-06-03 11:30:00
72,25.0,-300.0,0,-81.74999997454341,0,970.75,25.0,815.6200000837687,2018-06-03 12:00:00
73,25.0,0.0,0,0.0,0,936.13,25.0,733.8700001092252,2018-06-03 12:30:00
74,25.0,-4.870000109225202,0,-4.870000109225202,0,909.33,25.0,733.8700001092252,2018-06-03 13:00:00
75,25.0,0.0,0,0.0,0,917.34,25.0,729.0,2018-06-03 13:30:00
76,25.0,0,300.0,0,300.0,1200.67,42.0,729.0,2018-06-03 14:00:00
77,25.0,-300.0,0,-27.26000000191163,0,916.26,25.0,1029,2018-06-03 14:30:00
78,25.0,0,27.260000001911607,0,27.260000001911607,987.5100000019116,25.0,1001.7399999980884,2018-06-03 15:00:00
79,30.0,-0.0,0,0.0,0,1018.07,30.0,1029,2018-06-03 15:30:00
80,34.0,-0.0,0,0.0,0,1098.85,34.0,1029,2018-06-03 16:00:00
81,42.0,-0.0,0,0.0,0,1182.73,42.0,1029,2018-06-03 16:30:00
82,51.0,-0.0,0,0.0,0,1304.13,51.0,1029,2018-06-03 17:00:00
83,58.0,-0.0,0,0.0,0,1452.23,58.0,1029,2018-06-03 17:30:00
84,65.0,-0.0,0,0.0,0,1606.39,65.0,1029,2018-06-03 18:00:00
85,74.0,-299.9999999999999,0,-19.950000012226813,0,1752.95,74.0,1029,2018-06-03 18:30:00
86,74.0,-300.0,0,-34.07000001569849,0,1767.07,74.0,1009.0499999877732,2018-06-03 19:00:00
87,74.0,-300.0,0,-3.66000000045893,0,1736.66,74.0,974.9799999720747,2018-06-03 19:30:00
88,72.0,-300.0,0,-114.91999981130685,0,1727.92,72.0,971.3199999716157,2018-06-03 20:00:00
89,72.0,-300.00000010176177,0,-101.07999959034657,0,1714.08,72.0,856.4000001603089,2018-06-03 20:30:00
90,72.0,-300.00000056996225,0,-83.55999961997635,0,1696.56,72.0,755.3200005699623,2018-06-03 21:00:00
91,72.0,-300.0,0,-48.219999982844385,0,1661.22,72.0,671.760000949986,2018-06-03 21:30:00
92,65.0,-300.00000048357083,0,-48.53999998680322,0,1601.54,65.0,623.5400009671416,2018-06-03 22:00:00
93,61.0,-300.0000004901692,0,-79.209999927026,0,1532.21,61.0,575.0000009803384,2018-06-03 22:30:00
94,61.0,-300.0,0,-25.280000017412966,0,1478.28,61.0,495.79000105331244,2018-06-03 23:00:00
95,58.0,0,300.0,0,300.0,1728.77,72.0,470.51000103589945,2018-06-03 23:30:00
96,72.0,-300.00000055644654,0,-1.2599999997158087,0,1614.26,72.0,770.5100010358994,2018-06-04
97,61.0,-300.0,0,-76.05999992512061,0,1529.06,61.0,769.2500010361837,2018-06-04 00:30:00
98,61.0,-300.0,0,-30.53000001317582,0,1483.53,61.0,693.1900011110631,2018-06-04 01:00:00
99,58.0,-300.0000005489436,0,-12.510000003023592,0,1395.51,58.0,662.6600010978873,2018-06-04 01:30:00
100,51.0,-300.0000005474318,0,-25.619999998156256,0,1298.62,51.0,650.1500010948637,2018-06-04 02:00:00
101,48.0,-300.0,0,-31.359999996903515,0,1254.36,48.0,624.5300010967075,2018-06-04 02:30:00
102,48.0,-300.0,0,-0.30999999998035327,0,1223.31,48.0,593.1700010998039,2018-06-04 03:00:00
103,42.0,-300.0,0,-22.20999999999422,0,1187.21,42.0,592.8600010998235,2018-06-04 03:30:00
104,40.0,0,158.3499989001707,0,158.3499989001707,1318.2699989001708,56.0,570.6500010998293,2018-06-04 04:00:00
105,34.0,0,300.0,0,300.0,1431.02,58.0,729.0,2018-06-04 04:30:00
106,42.0,-300.0,0,-5.200000000980395,0,1170.2,42.0,1029,2018-06-04 05:00:00
